,Article Index,Part,Percentage
2903,78803,"A few months ago I wrote about Web browser hijacking. It 39;s a problem a lot of computer users are facing these days. You open your Internet Explorer, but instead of being directed to your homepage, you 39;re",80
14,88752,A modest proposal: We reorganize baseball with a  $50 million salary cap and pool all players into positions for a blind draw among the 30 teams.,100
3827,15593,"Crowds of well wishers greet the Chinese Olympic team, returning",60
3837,82944,"a second day, fuelling fears of a slide into all-out war in the world 39;s top cocoa grower. A UN spokesman",60
3263,16723,Vulnerabilities in technology widely used for network authentication leave computers,80
2225,77913,He called on candidates and election staffs to,20
1542,50018,"Sun Microsystems on Tuesday will detail ""Panther,"" which promises more",60
2680,104704,The dollar firmed slightly against the euro,20
4435,66389,NewsFactor - Microsoft (Nasdaq: MSFT) has announced,20
2633,113271,"So much has changed since I left Chelsea for the south coast 15 months ago. For instance, only two players from the starting XI of my last",80
525,31345,Mark Hughes takes charge of,20
3496,99777,Story in full AN AL-QAEDA terror plot involving aircraft being flown simultaneously,40
3068,33836,Microsoft 39;s announcements about Longhorn marked the first concrete launch dates for Longhorn that Microsoft has provided. Industry observers have been estimating a release at the,80
1782,35988,Reuters - U.S. Treasury yields hovered near five-month lows on Wednesday as weaker stocks and,60
4871,52810,Mr Howard has dismissed claims his party needed a miracle,40
596,4572,After missing all of the Carolina Panthers' 2004 Super Bowl,40
1033,116441,Verizon Communications Inc. 39;s wireless partner on Tuesday distanced itself from discussions of a potential,80
187,66050,"NEW YORK (Reuters) - J.P. Morgan Chase Co. ;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=JPM.N target=/stocks/quickinfo/fullquote"";JPM.N;/A; posted lower third-quarter earnings on Wednesday, missing analyst expectations, as costs",60
2305,66848,AP - He's been called the smartest man in baseball. Yet,20
3146,52444,"The U.S. Congress needs to invest more in the U.S. education system and do more to encourage broadband adoption, the chief",40
798,38556,AP - Online sales of illegal ivory are booming in the United States despite a longtime,80
3642,7474,"HOUSTON - After being plunked between the shoulders, Michael Barrett offered a few words of advice for Roy",60
4827,43774,"The deal, if consummated, would give Cendant the technology it needs to shed its dependence on an aging system",60
1791,44021,LONDON (Reuters) - Oil prices slid from record highs above $50 a barrel Wednesday,40
220,112587,"(December 10, 2004) - Delphi Corp.",20
33,49457,"AFP - The initial public offering (IPO) of shares in the newly established Saudi mobile phone company led by the United Arab Emirates' Etisalat will start October 16,",80
544,42914,"MacCentral - Apple has a habit of quietly releasing special Macintosh models for schools and colleges. There were, for example, the Power Mac 5000 line and the G3 All-in-One Mac for education (both of which resembled early and somewhat pedestrian precursors to the original iMac).",100
1625,51598,Dale Earnhardt Jr. cursed on,20
4324,60099,"Olive ridley sea turtles are making a comeback, largely because of Mexican conservation efforts.",100
1828,27190,"Companies to create real-time, rich-media collaboration for Windows Messenger users and later for",80
1612,25784,"Eri Suheri can be seen most mornings in the same spot in front of the Metropolitan Medical Center,",60
197,105309,"KIEV, Ukraine (Reuters) - Ukrainian opposition protesters rushed to parliament and massed at its main door Tuesday after the assembly failed",60
849,114907,"Ten percent of all bird species are set to disappear by the end of this century -- and with them the services they provide such as cleaning up carcasses and spreading seeds, US researchers said on Monday.",100
415,109572,"ID Biomedical of Vancouver, Canada",20
3269,106306,Several research teams are developing robots made of smart building blocks that can morph into different forms to perform a broad variety of tasks. The bots are to be used in space missions and in search-and-rescue efforts. By Lakshmi Sandhana.,100
3724,15691, NEW YORK (Reuters) - The dollar sagged on Tuesday as softer  U.S. data on Tuesday re-ignited worries that the world's  largest economy has yet to recover from its recent soft patch.,100
830,86643,BERLIN (Reuters) - War is not an,20
617,35905,_ Former star investment banker Frank Quattrone asked a federal appeals court Wednesday to let him,60
3914,46850,"ALEXANDRIA, Va. Oct. 1, 2004 - A former top Air Force procurement official was sentenced to nine months in prison after admitting for the first time Friday that she helped Boeing Co.",100
4732,59007,By Reuters. The Gannett Company yesterday reported an 11 percent jump in quarterly net profit,60
4844,71716,"Kabul - Afghanistan 39;s vote count slowed as it drew to completion on Monday, a day after incumbent leader Hamid Karzai secured a landslide win in preliminary results.",100
2814,117869,Johnson   Johnson will acquire the cardiac device manufacturer for  $25.4 billion. The acquisition is the largest business deal in J J's 118-year history,100
2206,71346,A test rocket which Brazil successfully launched on Saturday provided reassurance,40
163,71096,James Hardie Industries says it has written to the foundation it set up to compensate asbestos victims reaffirming its willingness,80
3560,47632,Ziff Davis - The,20
2443,68570,"ORLANDO, Fla. - Michael Eisner 39;s fighting back. The embattled Disney boss is gearing up to defend his hiring and firing of former Hollywood",80
981,69207,Forget the three league points at stake. The only,40
4469,9863,"Microsoft Operations Manager 2005 offers new features such as graphical systems views and enhanced reporting tools, and has been designed to be easier to deploy than its predecessor.",100
2017,50368,"As the number of Web services specifications proliferates, some developers",60
3777,27615,Patches released for flaws in software package that lets Windows files and,60
311,85824,Thousands of fans wait for hours to,40
3208,111368,"The defense secretary said today that it was valuable to hear concerns directly from troops, but",80
2592,71899,"Despite widespread attention, Ken Dunham, Director of Malicious Code at iDefense, characterizes the Linux Trojan as a low threat. quot;It looks like there was",60
3242,98749,"Ziff Davis - With a relatively hostile environment that has pitted proprietary software against open source as a backdrop, the Free Software Foundation, the steward",60
454,78131,"When Jeffrey W Greenberg took the helm of notoriously secretive Marsh  amp; McLennan Cos., a  $12 billion financial-services company, on Nov. 18, 1999, analysts were happily buzzing that Greenberg was a gregarious, outgoing executive.",100
1228,45786,"AP - Three weeks after the Genesis space capsule slammed into the Utah desert after its parachutes failed to deploy, NASA scientists remain hopeful they can salvage the mission and reveal",80
612,40553,The Afghan president makes a rare visit to the north just,60
545,22628,Northern Ireland midfielder Michael Hughes today,20
3214,57061,"BRUSSELS, Belgium -- Former No. 1 player Justine Henin-Hardenne ended her season Monday because of continued problems with an energy-sapping virus.",100
3366,71264,Northern Ireland drug company Warner Chilcott says it has received a,40
3266,106306,Several research teams are developing robots made of smart building blocks that can morph into different,40
2072,38201,Russian President Vladimir Putin urged Iran on Friday to heed the demands of the UN nuclear watchdog after,60
3117,43497,"As criticism mounted yesterday over Banknorth Group's pending deal with a Canadian bank, chief executive William J. Ryan defended his decision to sell a",60
4828,43774,"The deal, if consummated, would give Cendant the technology it needs to shed its dependence on an aging system and business model that it 39;s relied",80
2157,15068,Developer reaction to Microsoft 39;s decision to hold off on delivering planned parts of the next release of Windows Longhorn to meet the 2006 deadline,60
3123,111168,The UK 39;s global trade deficit in goods widened to a nine-month high in October as imports rose to a record and exports to,80
3993,116957,A cabinet minister embroiled in the messy fallout of an affair with a married woman resigned,80
3405,21829,Yahoo Testing Travel Search Engine Yahoo is launching its public,20
3246,89358,Fierce fire fights have erupted in the south of Fallujah as trapped enemy fighters make,40
3202,49751,"PalmOne (Quote, Chart), maker of the lower-priced Zire handheld and the Treo smartphone, unveiled the Tungsten T5 handheld",60
2346,60252,"By VLADIMIR ISACHENKOV BAIKONUR, Kazakhstan (AP) -- A rocket carrying two Russian cosmonauts and an American",40
574,38044,"When Orioles shortstop Miguel Tejada smacked Derek Lowe's 2-and-2 delivery over the left-field wall in the fifth inning last night for a three-run home run, Lowe stared at the ground and nodded. Up to that point, he had staged a battle with Orioles hitters that went back-and-forth through four innings -- one that appeared primed to go much longer.",100
